Date,Region,Product,Customer_Segment,Sales_Units,Unit_Price,Discount,Shipping_Cost,Profit_Margin,Returns,Revenue,Month
2023-04-13,East,Desktop,Consumer,8.0,,0.1,7.34,0.11,0,4705.63,2023-04
2023-12-15,East,Monitor,Home Office,11.0,934.22,0.05,5.58,0.12,0,9762.6,2023-12
2023-09-28,North,Desktop,Consumer,8.0,965.85,,40.8,0.19,0,6567.78,2023-09
2023-04-17,South,Smartphone,Consumer,9.0,,0.05,26.47,0.15,0,4771.41,2023-04
2023-03-13,South,Laptop,Corporate,8.0,507.54,0.15,10.89,0.2,0,3451.27,2023-03
2023-07-08,West,Smartphone,Corporate,4.0,350.82,0.0,15.6,0.15,0,1403.28,2023-07
2023-01-21,South,Smartphone,Corporate,10.0,962.98,0.0,46.96,0.29,0,9629.8,2023-01
2023-04-13,North,Tablet,Corporate,14.0,228.53,0.0,43.68,0.28,0,3199.42,2023-04
2023-05-02,East,Tablet,Home Office,9.0,621.85,0.15,36.94,0.21,0,4757.15,2023-05
2023-08-03,South,Tablet,Home Office,9.0,354.3,0.0,26.7,0.17,0,3188.7,2023-08
2023-11-27,West,Tablet,Home Office,9.0,351.11,0.0,28.41,0.18,1,3159.99,2023-11
2023-03-29,South,Desktop,Corporate,11.0,464.47,0.0,48.89,0.18,0,5109.17,2023-03
2023-04-10,North,Monitor,Corporate,10.0,998.91,0.0,48.46,0.25,0,9989.1,2023-04
2023-12-26,West,Laptop,Corporate,8.0,149.47,0.05,14.69,0.19,0,1135.97,2023-12
2023-06-01,South,Smartphone,Home Office,13.0,620.69,0.0,41.5,0.27,0,8068.97,2023-06
2023-05-11,West,Desktop,Corporate,21.0,174.31,0.0,13.88,0.29,0,3660.51,2023-05
2023-05-30,North,Laptop,Consumer,13.0,239.07,0.05,14.61,0.17,0,2952.51,2023-05
2023-11-05,East,Desktop,Consumer,8.0,495.61,0.05,35.42,0.21,0,3766.64,2023-11
2023-09-15,North,Desktop,Corporate,8.0,559.41,0.15,23.23,0.12,0,3803.99,2023-09
2023-12-10,North,Smartphone,Consumer,10.0,332.91,0.1,46.92,0.14,0,2996.19,2023-12
2023-10-21,North,Monitor,Consumer,9.0,384.81,0.0,9.01,0.18,0,3463.29,2023-10
2023-07-11,North,Tablet,Home Office,8.0,178.27,0.0,28.02,0.14,0,1426.16,2023-07
